GraphName,Version,Nodes,Edges,Wall Time,CPU Time,Clusters,Modularity,MaxIterations,FirstMoveTime,MoveTime,CoarsenTime,RefineTime,Threads,CacheLevel,CacheMissCount,Refine,StablePartitioningTime,Scale,EdgeFactor,a,b,c,d
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,PLM,1048576,33554432,26.7872,181.109,295136,0.0544261,25,24171.6,25282.6,627.79,0,36,L1D,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,PLM,1048576,33554432,39.3837,379.154,23890,0.0956704,25,23044.5,37313.5,732.607,0,36,L1D,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,PLM,1048576,33554432,27.9865,210.952,295125,0.0536512,25,24792.6,26413.6,660.106,0,36,L1D,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,PLM,1048576,33554432,39.1746,386.205,23890,0.0959967,25,22434.3,37137.3,721.185,0,36,L1D,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,PLM,1048576,33554432,32.3246,257.617,295131,0.051977,25,26349.2,30600.2,690.401,0,36,L1D,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,PLM,1048576,33554432,27.7966,217.8,295158,0.0524868,25,24035.6,26268.6,639.048,0,36,L1D,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,PLM,1048576,33554432,39.2454,384.194,23890,0.0951431,25,23101.4,37246.4,690.473,0,36,L1D,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,PLM,1048576,33554432,29.5943,223.412,295149,0.0533049,25,25323,27999,646.216,0,36,L1D,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,PLM,1048576,33554432,38.1871,372.242,23892,0.0952394,25,21344,36151,735.58,0,36,L1D,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,PLM,1048576,33554432,30.5381,243.7,295143,0.0508801,25,24911.1,28926.1,628.846,0,36,L1D,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,PLM,1048576,33554432,38.1273,380.357,23888,0.0943401,25,22126.2,36197.2,650.989,0,36,L1D,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,PLM,1048576,33554432,28.1793,202.784,295151,0.0526316,25,24997.6,26699.6,596.141,0,36,L1D,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,PLM,1048576,33554432,26.4017,182.428,295140,0.0545541,25,23767,24972,568.26,0,36,L1D,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,PLM,1048576,33554432,38.584,362.037,23889,0.094277,25,22681.2,36622.2,662.805,0,36,L1D,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,PLM,1048576,33554432,27.268,183.275,295147,0.0536962,25,24523,25783,581.88,0,36,L1D,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,PLM,1048576,33554432,38.3372,376.987,23888,0.094288,25,21923.4,36367.4,654.332,0,36,L1D,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,PLM,1048576,33554432,26.846,204.195,295128,0.0538329,25,23179.1,25395.1,577.89,0,36,L1D,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,PLM,1048576,33554432,37.3713,358.507,23888,0.0942324,25,21267.8,35417.8,656.471,0,36,L1D,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,PLM,1048576,33554432,27.6767,201.679,295153,0.053929,25,24470.8,26190.8,589.788,0,36,L1D,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,PLM,1048576,33554432,23.3999,182.055,295140,0.0526699,25,19774.9,21906.9,578.798,0,36,L1D,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,ONPL,1048576,33554432,4.00544,49.2042,295150,0.0536944,25,2566.44,2594.44,520.932,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,ONPL,1048576,33554432,3.47726,43.3735,295141,0.0535664,25,2063.74,2091.74,519.354,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,ONPL,1048576,33554432,3.41283,47.6192,295148,0.0537743,25,2002.65,2029.65,508.701,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,ONPL,1048576,33554432,3.10694,42.5432,295148,0.0536267,25,1709.13,1730.13,516.82,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,ONPL,1048576,33554432,3.07707,43.1895,295145,0.0540049,25,1652.95,1690.95,522.35,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,PLM,1048576,33554432,56.757,409.572,23984,0.0490783,25,18472.3,53263.3,1307.8,0,36,L1D,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,ONPL,1048576,33554432,3.48197,43.5436,295154,0.0534728,25,2052.43,2079.43,534.79,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,ONPL,1048576,33554432,3.80956,52.4055,295158,0.0538339,25,2377.27,2415.27,525.767,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,ONPL,1048576,33554432,3.48183,48.6725,295135,0.0533899,25,2078.77,2110.77,514.354,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,ONPL,1048576,33554432,3.16796,43.5544,295148,0.0532498,25,1755.2,1781.2,518.636,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,ONPL,1048576,33554432,3.92031,55.9899,295149,0.0536155,25,2430.98,2468.98,548.397,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,ONPL,1048576,33554432,3.27333,46.7964,295139,0.0533928,25,1842.41,1862.41,521.809,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,ONPL,1048576,33554432,3.82528,53.3069,295145,0.0537148,25,2412.13,2438.13,519.332,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,PLM,1048576,33554432,55.431,389.201,23980,0.0490366,25,18091.2,52462.2,852.596,0,36,L1D,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,OVPL,1048576,33554432,3.90224,65.3148,295145,0.0534972,25,2257.28,2421.28,591.5,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,OVPL,1048576,33554432,4.70495,82.9755,295153,0.0533078,25,3008.77,3250.77,582.971,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,OVPL,1048576,33554432,4.55301,73.7802,295143,0.0535523,25,2994.69,3148.69,567.892,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,OVPL,1048576,33554432,5.10132,81.5555,295150,0.0537667,25,3328.19,3643.19,595.945,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,OVPL,1048576,33554432,4.4134,86.479,295140,0.0537456,25,2828.93,2965.93,582.899,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,OVPL,1048576,33554432,4.89551,86.0637,295139,0.0533483,25,3333.62,3508.62,572.724,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,OVPL,1048576,33554432,4.17432,70.9032,295147,0.0538655,25,2543.12,2747.12,590.212,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,OVPL,1048576,33554432,4.55937,79.6062,295140,0.0533101,25,3044.12,3178.12,558.601,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,OVPL,1048576,33554432,3.79991,73.7356,295136,0.0532561,25,2226.79,2384.79,571.586,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,OVPL,1048576,33554432,4.04104,65.6898,295157,0.0534286,25,2366.44,2600.44,575.553,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,PLM,1048576,33554432,55.2795,388.015,23978,0.0504525,25,17723.7,52305.7,842.631,0,36,L1D,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,OVPL,1048576,33554432,4.82398,78.018,295135,0.0531083,25,3231.33,3412.33,551.802,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,OVPL,1048576,33554432,3.57088,64.3207,295136,0.0533106,25,2043.44,2184.44,553.588,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,MPLM,1048576,33554432,3.58714,48.0593,295136,0.0533021,25,2128.9,2246.9,537.35,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,MPLM,1048576,33554432,3.25079,45.8145,295140,0.0531143,25,1774.14,1901.14,541.758,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,MPLM,1048576,33554432,4.52099,60.024,295151,0.0534643,25,3041.09,3163.09,545.773,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,MPLM,1048576,33554432,3.10292,43.6344,295142,0.0532853,25,1597.76,1712.76,591.271,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,MPLM,1048576,33554432,3.51043,50.4465,295132,0.0529052,25,2037.52,2116.52,600.053,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,PLM,1048576,33554432,37.2346,363.06,23889,0.0951407,25,21272.3,35266.3,667.979,0,36,L1D,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,MPLM,1048576,33554432,4.59337,60.1665,295149,0.0535278,25,3036.09,3182.09,596.252,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,MPLM,1048576,33554432,3.43373,45.5633,295138,0.0533758,25,2002.32,2089.32,542.298,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,MPLM,1048576,33554432,3.57755,50.6186,295150,0.053432,25,2077.68,2211.68,545.183,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,ONPL,1048576,33554432,4.71054,103.693,23889,0.0940518,25,2285.85,2768.85,586.097,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,MPLM,1048576,33554432,4.20438,59.6231,295138,0.0531398,25,2653.7,2770.7,615.85,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,ONPL,1048576,33554432,4.04465,95.8571,23889,0.103601,25,2425.37,2538.37,558.734,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,MPLM,1048576,33554432,3.48112,46.2549,295142,0.0536524,25,2011.92,2128.92,542.677,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,ONPL,1048576,33554432,3.85794,95.7622,23885,0.1043,25,2246.07,2362.07,555.165,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,MPLM,1048576,33554432,3.63173,50.3124,295150,0.0533914,25,2069.7,2186.7,620.957,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,ONPL,1048576,33554432,4.0448,95.492,23889,0.104534,25,2440.58,2546.58,556.834,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,MPLM,1048576,33554432,3.61409,51.1614,295153,0.0537117,25,2068.78,2201.78,598.618,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,ONPL,1048576,33554432,3.9188,94.7951,23883,0.105116,25,2292.14,2406.14,570.648,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,PLP,1048576,33554432,0.793932,16.7799,295101,2.86102e-06,25,0,785,0,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,PLP,1048576,33554432,0.781427,16.3135,295101,2.86102e-06,25,0,775,0,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,PLP,1048576,33554432,0.774063,16.6222,295101,2.86102e-06,25,0,765,0,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,PLP,1048576,33554432,0.768116,16.1505,295101,2.86102e-06,25,0,760,0,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,ONPL,1048576,33554432,4.05595,96.8632,23890,0.10494,25,2432.25,2547.25,568.351,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,PLP,1048576,33554432,0.791438,16.6925,295101,2.86102e-06,25,0,782,0,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,PLP,1048576,33554432,0.795489,16.0475,295101,2.86102e-06,25,0,791,0,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,PLP,1048576,33554432,0.750386,15.7972,295101,2.86102e-06,25,0,741,0,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,ONPL,1048576,33554432,3.91743,96.2096,23886,0.104476,25,2296.51,2404.51,578.908,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,PLP,1048576,33554432,0.812977,16.8808,295102,2.92063e-06,25,0,805,0,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,PLP,1048576,33554432,0.783321,15.6127,295102,2.92063e-06,25,0,779,0,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,PLP,1048576,33554432,0.792657,16.4664,295101,2.86102e-06,25,0,783,0,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,PLP,1048576,33554432,0.796182,17.2237,295101,2.86102e-06,25,0,788,0,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,ONPL,1048576,33554432,4.73184,102.367,23888,0.0931051,25,2320.75,2767.75,591.402,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,PLP,1048576,33554432,0.792614,16.8769,295101,2.86102e-06,25,0,785,0,0,36,LL,0,0,0,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,MPLP,1048576,33554432,0.7067,16.5407,295101,2.86102e-06,25,0,600,0,0,36,LL,0,0,1.41e-07,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,ONPL,1048576,33554432,4.55277,102.838,23890,0.094524,25,2145.86,2623.86,587.866,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,MPLP,1048576,33554432,0.736471,16.5944,295101,2.86102e-06,25,0,630,0,0,36,LL,0,0,3.7e-08,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,MPLP,1048576,33554432,0.711323,16.1326,295101,2.86102e-06,25,0,605,0,0,36,LL,0,0,4.3e-08,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,MPLP,1048576,33554432,0.713427,16.2099,295101,2.86102e-06,25,0,607,0,0,36,LL,0,0,6e-08,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,MPLP,1048576,33554432,0.726217,16.4713,295102,2.86102e-06,25,0,620,0,0,36,LL,0,0,1.04e-07,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,ONPL,1048576,33554432,4.02149,95.7335,23886,0.104761,25,2420.19,2533.19,553.952,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,MPLP,1048576,33554432,0.72702,16.3593,295101,2.86102e-06,25,0,621,0,0,36,LL,0,0,3.6e-08,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,MPLP,1048576,33554432,0.720177,16.2709,295101,2.86102e-06,25,0,614,0,0,36,LL,0,0,3.6e-08,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,MPLP,1048576,33554432,0.729095,16.562,295102,2.92063e-06,25,0,622,0,0,36,LL,0,0,3.6e-08,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,MPLP,1048576,33554432,0.735668,16.8869,295101,2.86102e-06,25,0,625,0,0,36,LL,0,0,1.06e-07,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,ONPL,1048576,33554432,3.96178,96.9172,23886,0.105144,25,2319.45,2444.45,567.906,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,MPLP,1048576,33554432,0.712055,15.8521,295101,2.86102e-06,25,0,605,0,0,36,LL,0,0,9.9e-08,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,MPLP,1048576,33554432,0.741603,16.2713,295101,2.86102e-06,25,0,632,0,0,36,LL,0,0,4.9e-08,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,MPLP,1048576,33554432,0.698066,15.714,295101,2.86102e-06,25,0,591,0,0,36,LL,0,0,3.5e-08,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,ONPL,1048576,33554432,4.02586,97.1718,23885,0.105017,25,2396.72,2512.72,557.026,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,ONLP,1048576,33554432,0.403086,6.27623,295101,2.86102e-06,25,0,293,0,0,36,LL,0,0,4.8e-08,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,ONLP,1048576,33554432,0.408993,6.41318,295101,2.86102e-06,25,0,301,0,0,36,LL,0,0,6.3e-08,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,ONLP,1048576,33554432,0.403159,6.35058,295101,2.86102e-06,25,0,294,0,0,36,LL,0,0,5.3e-08,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,ONLP,1048576,33554432,0.396802,6.35915,295101,2.86102e-06,25,0,289,0,0,36,LL,0,0,5.2e-08,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,ONLP,1048576,33554432,0.402387,6.38972,295101,2.86102e-06,25,0,293,0,0,36,LL,0,0,1.27e-07,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,ONLP,1048576,33554432,0.409399,6.395,295101,2.86102e-06,25,0,302,0,0,36,LL,0,0,5.3e-08,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,ONLP,1048576,33554432,0.420976,6.12412,295101,2.86102e-06,25,0,313,0,0,36,LL,0,0,4.1e-08,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,ONLP,1048576,33554432,0.410583,6.42146,295101,2.86102e-06,25,0,303,0,0,36,LL,0,0,5.2e-08,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,ONLP,1048576,33554432,0.408322,6.4017,295101,2.86102e-06,25,0,300,0,0,36,LL,0,0,6.5e-08,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,ONLP,1048576,33554432,0.410618,6.41371,295101,2.86102e-06,25,0,303,0,0,36,LL,0,0,1.27e-07,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,ONLP,1048576,33554432,0.403923,6.36801,295101,2.86102e-06,25,0,295,0,0,36,LL,0,0,5.3e-08,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.570000-0.190000-0.190000-0.050000,ONLP,1048576,33554432,0.413862,6.29086,295101,2.86102e-06,25,0,306,0,0,36,LL,0,0,1.07e-07,20,32,0.57,0.19,0.19,0.05
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,OVPL,1048576,33554432,6.17086,131.667,23886,0.0918036,25,3602.31,4231.31,634.524,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,OVPL,1048576,33554432,6.00686,127.233,23888,0.0941215,25,3484.29,4075.29,627.76,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,OVPL,1048576,33554432,4.62894,105.444,23885,0.105164,25,2844.44,3117.44,594.54,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,OVPL,1048576,33554432,4.47435,103.518,23886,0.104675,25,2752.05,3003.05,581.922,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,OVPL,1048576,33554432,4.63804,106.76,23884,0.104199,25,2901.95,3164.95,579.659,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,OVPL,1048576,33554432,6.81106,146.485,23889,0.093361,25,4307.08,4889.08,625.342,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,OVPL,1048576,33554432,6.19557,132.232,23887,0.0929738,25,3586.17,4215.17,658.073,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,OVPL,1048576,33554432,6.88946,150.535,23889,0.0935318,25,4289.21,4989.21,618.595,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,OVPL,1048576,33554432,9.0358,196.201,23964,0.0517444,25,3534.47,6005.47,922.684,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,OVPL,1048576,33554432,8.34793,179.492,23954,0.0531896,25,3603.57,5476.57,769.488,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,OVPL,1048576,33554432,6.1228,125.723,23888,0.0925599,25,3687.41,4213.41,622.793,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,OVPL,1048576,33554432,5.75522,133.057,23890,0.0952967,25,3215.29,3844.29,623.561,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,MPLM,1048576,33554432,5.66568,117.148,23888,0.0926583,25,3229.23,3730.23,641.827,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,MPLM,1048576,33554432,4.76108,108.912,23885,0.104747,25,3154.3,3316.3,570.809,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,MPLM,1048576,33554432,5.43348,114.587,23888,0.0928915,25,2964.19,3495.19,658.023,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,MPLM,1048576,33554432,5.29365,117.337,23890,0.0939292,25,2833.06,3358.06,653.992,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,MPLM,1048576,33554432,4.65436,109.228,23883,0.104637,25,3028.31,3230.31,561.355,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,MPLM,1048576,33554432,4.36955,109.449,23888,0.114039,25,2996.64,3052.64,561.517,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
RMAT_20_32-0.330000-0.330000-0.330000-0.010000,MPLM,1048576,33554432,5.3173,115.065,23889,0.0934208,25,2829.77,3353.77,673.135,0,36,LL,0,0,0,20,32,0.33,0.33,0.33,0.01
